# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2783.8000 F2668 126700 1 115.8000 cm111 c54 298 N cm111->c54
2794.0000 F2080 138613 2 714.0000 wm123 p20 288 N wm123->t100->p20
2803.3000 F1597 116845 2 1206.3000 cm116 p14 279 N cm116->c48->p14
2805.8000 F2635 291850 1 170.8000 cm115 w94 297 N cm115->w94
2811.3000 F622 347374 3 2189.3000 wm125 pm102 263 N wm125->c44->c50->pm102
2812.1000 F1531 181426 4 1281.1000 pm107 c60 278 N pm107->c45->w89->c59->c60
2852.9000 F1054 464375 3 1798.9000 cm117 cm116 270 N cm117->pm109->c46->cm116
2876.4000 F1694 189257 3 1182.4000 pm107 cm116 280 N pm107->c63->c41->cm116
2881.7000 F1151 104294 3 1730.7000 pm107 c46 271 N pm107->w82->c41->c46
2893.4000 F1562 347700 3 1331.4000 wm125 p26 277 N wm125->c49->c48->p26
2907.9000 F809 393616 2 2098.9000 cm110 c47 265 N cm110->w65->c47
2925.7000 F2916 467925 1 9.7000 cm112 p11 299 N cm112->p11
2936.7000 F2725 315060 1 211.7000 cm117 c52 296 N cm117->c52
2943.8000 F2780 498600 1 163.8000 wm118 cm115 297 N wm118->cm115
2948.7000 F552 261892 4 2396.7000 wm121 c36 260 N wm121->w83->c48->p8->c36
2978.1000 F2854 445798 1 124.1000 wm118 w84 297 N wm118->w84
2992.5000 F1051 252931 2 1941.5000 wm118 cm112 267 N wm118->w66->cm112
2993.6000 F489 217997 4 2504.6000 wm122 pm104 258 N wm122->p2->c51->c32->pm104
3001.6000 F2801 235104 1 200.6000 cm113 p6 296 N cm113->p6
3050.5000 F3026 210696 1 24.5000 cm115 p1 299 N cm115->p1
3051.5000 F885 166450 3 2166.5000 wm122 t101 263 N wm122->w64->t97->t101
3055.1000 F166 259394 3 2889.1000 pm105 c56 251 N pm105->p23->t98->c56
3059.3000 F1806 351955 2 1253.3000 wm121 p29 279 N wm121->w86->p29
3072.0000 F876 334964 5 2196.0000 wm123 p20 263 N wm123->p10->c32->t97->t101->p20
3072.8000 F958 177296 5 2114.8000 wm120 p20 264 N wm120->t99->t96->t97->t101->p20
3085.4000 M89 616020 2 423.4000 p31 p2 292 N p31->c37->p2
3094.4000 F2908 498640 1 186.4000 wm118 c45 296 N wm118->c45
3103.2000 F1804 194264 3 1299.2000 wm123 c43 278 N wm123->t101->w89->c43
3104.1000 F2723 320338 2 381.1000 wm122 c32 293 N wm122->p24->c32
3104.2000 F2590 227003 2 514.2000 cm117 c43 291 N cm117->w89->c43
3106.0000 F2864 466503 2 242.0000 pm104 c58 295 N pm104->pm108->c58
3106.8000 M48 884863 3 1669.8000 p23 w68 272 N p23->t98->p13->w68
3115.4000 F920 214818 3 2195.4000 pm109 cm112 263 N pm109->p8->c33->cm112
3122.2000 F302 141495 5 2820.2000 cm117 cm113 252 N cm117->c36->w66->c51->c56->cm113
3123.2000 F1833 118272 2 1290.2000 cm111 t98 278 N cm111->c43->t98
3164.2000 F276 409021 6 2888.2000 wm120 cm113 251 N wm120->t99->p7->p4->p26->w73->cm113
3173.9000 F2257 199894 2 916.9000 cm111 c36 284 N cm111->c43->c36
3196.9000 F799 129811 5 2397.9000 cm110 t97 260 N cm110->cm117->p19->c33->cm112->t97
3217.6000 F2302 297986 3 915.6000 wm124 c36 284 N wm124->p21->t96->c36
3218.2000 F2371 125586 3 847.2000 wm124 c36 285 N wm124->p21->t96->c36
3227.5000 F706 234524 6 2521.5000 cm116 cm112 257 N cm116->w82->c37->p28->t100->t98->cm112
3231.1000 F2937 153159 1 294.1000 cm110 c41 295 N cm110->c41
3242.4000 F1261 372445 5 1981.4000 wm121 c47 266 N wm121->w68->t101->t97->t96->c47
3243.1000 F2913 120440 2 330.1000 wm120 w66 294 N wm120->c33->w66
3249.0000 F3190 279679 1 59.0000 pm104 p31 299 N pm104->p31
3252.9000 F3150 499740 1 102.9000 wm118 c36 298 N wm118->c36
3258.9000 F1555 399948 3 1703.9000 wm123 p13 271 N wm123->w77->t99->p13
3261.1000 F2885 171682 2 376.1000 wm122 w91 293 N wm122->w81->w91
